,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG-NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY-COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY-THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY-OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS,ALL,averageListingPrice,alp_allsf
2010-04-30,16,1008,8,6,436,76,31,700,61,9,3,7,67,219,1,15,1788,39,4,296,994,1773,1,122,48,252,20,136,64,2,58,6,498,0,120,687,326,478,111,10486,805977.4896,805977.4896
2010-05-31,21,1085,4,5,492,73,39,866,63,9,5,4,72,230,0,10,1933,27,15,396,1196,1951,0,83,48,281,31,158,63,4,59,10,591,0,108,719,271,529,124,11575,799984.577725,799984.577725
2010-06-30,22,1078,6,7,457,67,36,790,46,9,4,3,85,194,2,28,1961,23,15,344,1199,1585,0,93,43,223,25,184,80,1,56,5,481,0,93,715,366,420,109,10855,806837.918539,806837.918539
2010-07-31,18,1021,5,3,432,59,37,697,61,13,6,12,76,272,1,35,2121,24,7,349,1180,1634,0,52,55,284,21,152,42,4,50,5,492,0,71,650,388,518,99,10946,801830.715747,801830.715747
2010-08-31,22,1023,7,4,403,83,38,771,66,12,3,13,82,254,0,32,2289,25,23,395,1225,1752,0,123,53,268,22,148,62,3,66,7,536,0,86,694,381,570,105,11646,792779.730019,792779.730019
2010-09-30,19,1075,4,4,385,68,42,757,61,12,3,9,88,230,0,40,2180,33,7,404,1305,1784,0,147,57,279,26,158,54,2,49,5,624,1,115,685,403,586,91,11792,805746.692038,805746.692038
2010-10-31,21,1176,2,7,393,77,43,761,72,15,7,8,72,232,0,35,2142,16,13,468,1369,1758,1,108,37,309,23,205,67,0,59,6,619,0,108,680,359,526,113,11907,782985.547067,782985.547067
2010-11-30,17,960,3,6,382,42,36,578,66,15,5,4,77,212,0,32,2179,20,16,418,1160,1569,0,122,50,328,26,132,58,1,57,6,484,0,80,635,398,516,118,10808,790017.730969,790017.730969
2010-12-31,6,994,7,1,387,55,44,637,58,12,1,7,62,212,2,41,2129,25,10,372,1211,1549,1,169,62,263,24,159,60,3,55,11,515,1,83,570,373,490,108,10769,808427.865972,808427.865972
2011-01-31,25,1055,4,7,442,69,41,747,50,12,3,3,78,228,1,41,2109,19,13,387,1280,1880,0,142,62,296,21,167,45,2,77,2,574,0,85,663,339,567,98,11634,789334.96395,789334.96395
2011-02-28,19,886,5,1,315,60,35,726,42,20,2,6,71,225,1,30,1924,23,5,317,1066,1542,1,116,35,227,14,141,51,2,62,5,443,0,61,590,312,532,70,9983,803504.345468,803504.345468
2011-03-31,11,1029,3,3,374,57,41,611,64,8,6,3,65,262,0,41,2264,32,6,348,1247,1736,0,104,61,249,36,175,73,4,58,11,521,0,72,684,465,548,125,11397,814978.741483,814978.741483
2011-04-30,23,1041,4,5,377,79,34,563,45,21,9,6,66,218,2,31,2037,24,16,548,1304,1690,0,132,61,275,25,169,63,2,55,7,549,0,84,683,359,513,112,11232,797698.935579,797698.935579
2011-05-31,14,1046,1,4,406,78,56,580,52,12,2,3,80,235,5,43,2214,29,11,437,1408,1637,0,128,51,295,19,168,65,1,66,6,578,0,95,601,375,530,120,11451,811292.044726,811292.044726
2011-06-30,13,947,8,5,390,56,26,635,43,16,2,3,74,215,2,33,2041,30,9,435,1308,1677,0,123,49,294,35,154,70,1,69,10,524,0,94,571,350,580,103,10995,822718.526942,822718.526942
2011-07-31,20,1040,3,4,378,70,50,532,48,8,2,5,67,200,1,24,2098,24,9,370,1374,1625,1,90,62,268,29,141,42,2,47,3,522,0,107,598,274,496,110,10744,813364.783879,813364.783879
2011-08-31,17,1017,1,9,466,69,41,502,66,10,3,5,79,237,0,30,2148,14,15,410,1295,1640,0,40,52,333,28,141,69,4,81,3,518,0,116,562,370,560,124,11075,794729.656331,794729.656331
2011-09-30,18,1104,2,1,467,68,47,614,61,8,4,9,71,237,3,39,2077,19,9,402,1406,1684,0,47,69,241,19,142,64,3,67,5,519,0,97,525,454,523,132,11257,807164.571172,807164.571172
2011-10-31,14,1117,3,2,421,44,32,491,66,11,5,6,58,233,1,34,2327,16,8,430,1392,1540,0,77,72,314,42,160,70,2,64,8,550,0,74,595,513,536,117,11445,835819.861045,835819.861045
2011-11-30,17,996,5,4,475,53,27,497,52,22,3,5,54,217,0,38,2238,21,15,335,1224,1459,0,54,50,269,25,136,63,1,76,9,458,0,91,541,451,454,119,10554,859091.258315,859091.258315
2011-12-31,12,1003,6,2,476,59,40,437,63,20,0,4,57,249,1,37,2428,10,8,339,1282,1442,1,41,69,315,27,121,60,5,63,7,451,0,96,630,500,472,99,10932,870910.491839,870910.491839
2012-01-31,29,1064,3,12,471,62,45,621,55,20,7,5,68,222,0,33,2201,26,7,372,1297,1846,0,63,59,312,30,153,75,5,75,7,535,0,105,605,428,597,121,11636,876164.934623,876164.934623
2012-02-29,16,1005,3,5,465,65,35,584,51,8,1,5,52,226,3,42,2112,18,9,395,1255,1624,0,47,55,243,31,132,68,6,71,9,488,0,96,604,474,504,123,10930,873731.63206,873731.63206
2012-03-31,12,1018,6,4,475,43,29,676,56,11,1,5,61,225,2,24,2119,23,8,377,1473,1729,0,52,48,319,35,164,58,3,69,6,526,0,110,642,451,494,103,11457,889956.812619,889956.812619
2012-04-30,18,994,4,6,536,83,38,518,47,12,1,8,70,223,0,20,2325,20,9,332,1390,1561,0,56,64,283,26,157,54,0,62,7,482,0,138,659,473,488,94,11258,836467.176081,836467.176081
2012-05-31,17,1006,8,6,524,76,47,568,44,10,7,3,96,215,4,26,2560,27,25,329,1459,1585,0,72,47,322,26,159,56,2,94,6,510,0,136,606,455,554,130,11817,926146.652778,926146.652778
2012-06-30,21,997,3,4,495,45,28,469,55,20,5,3,71,211,3,19,2509,19,21,346,1389,1268,0,61,49,314,33,154,67,1,61,5,473,0,99,614,497,520,114,11063,939744.493942,939744.493942
2012-07-31,25,965,4,5,522,53,28,462,41,25,3,7,82,212,0,14,2564,14,15,332,1433,1524,1,49,58,295,18,131,66,4,73,6,464,0,92,675,600,503,143,11508,945962.614494,945962.614494
2012-08-31,17,1057,5,7,547,54,32,518,64,12,5,15,90,206,1,21,2849,16,7,325,1561,1591,1,49,63,386,30,156,50,4,83,8,495,0,120,663,573,522,130,12333,908610.162801,908610.162801
2012-09-30,25,993,4,4,482,59,32,488,60,10,3,6,67,207,1,16,2978,20,10,333,1354,1477,0,45,58,328,28,165,78,0,88,8,496,0,113,687,548,512,127,11910,882091.20914,882091.20914
2012-10-31,18,1131,4,5,594,65,34,534,62,11,2,6,139,258,3,20,3150,19,18,468,1477,1566,0,57,71,382,31,186,90,2,82,5,508,1,109,807,551,575,148,13189,870144.797439,870144.797439
2012-11-30,18,1016,3,2,584,51,33,512,55,12,2,5,90,223,1,12,2866,17,4,410,1432,1412,0,73,70,394,19,155,62,0,93,10,440,0,92,648,580,508,114,12018,952160.831581,952160.831581
2012-12-31,21,935,2,4,550,48,40,495,54,18,1,9,104,270,0,35,2744,7,2,354,1416,1466,0,66,81,377,23,153,67,1,81,9,443,1,78,598,553,523,113,11742,968538.823472,968538.823472
2013-01-31,37,997,5,2,507,53,34,613,50,15,3,9,55,229,3,28,2932,18,15,416,1725,1741,0,57,85,391,22,157,61,2,103,6,452,0,84,566,523,638,123,12757,954550.930357,954550.930357
2013-02-28,23,952,2,4,440,45,39,580,55,17,1,3,50,226,0,34,2677,17,6,343,1576,1558,0,96,66,344,26,158,65,0,79,9,439,0,103,526,470,590,113,11732,974533.54494,974533.54494
2013-03-31,22,1134,3,6,519,57,39,635,73,9,2,7,76,226,1,46,2872,17,5,418,1792,1624,0,65,56,305,25,187,65,3,88,4,497,1,143,657,455,657,149,12940,1001299.02455,1001299.02455
